date	time	location	change	value
1/27	12:54 PM	WSD Grab N Go36	-4.62	1,550.33
1/26	06:40 PM	Union C 18 3700	-8.57	1,554.95
1/27	07:33 PM	WSD Pizza35	-7.54	1,542.79
1/27	09:26 PM	WSD Pizza35	-4.75	1,538.04
1/28	05:41 PM	WSD International Market HQ01	-5.38	1,532.66
1/28	05:42 PM	WSD Grab N Go36	-1.84	1,530.82
1/29	04:37 PM	SAC HQ02 3700 FA11	-9.04	1,521.78
1/29	08:22 PM	SAC HQ02 3700 FA11	-2.23	1,519.55
1/29	08:34 PM	WSD Eastern Cuisine Kelly07	-2.72	1,516.83
1/29	08:37 PM	WSD Grab N Go36	-1.78	1,515.05
1/30	03:04 PM	WSD International Market HQ01	-4.75	1,510.30
1/30	03:10 PM	WSD Grab N Go36	-1.78	1,508.52
